0:blockstack-cli send_tokens SP1A4QRWWKGM7VDNMGGJQPPEJX87JXFEWYMAHAR36 STACKS 6859200 "$prikey" "$prikey" :0:['6.8592', 'SP1A4QRWWKGM7VDNMGGJQPPEJX87JXFEWYMAHAR36']
1:blockstack-cli send_tokens SP1N35PSJ24P8J524844ZPYFMKF03PFJ59GZYX3HY STACKS 113259100 "$prikey" "$prikey" :0:['113.2591', 'SP1N35PSJ24P8J524844ZPYFMKF03PFJ59GZYX3HY']
2:blockstack-cli send_tokens SP1NZXFRJR44A38YHTVK1CW83FY2FEAVMDHQXFXNE STACKS 12321600 "$prikey" "$prikey" :0:['12.3216', 'SP1NZXFRJR44A38YHTVK1CW83FY2FEAVMDHQXFXNE']
3:blockstack-cli send_tokens SP1P4S2DW5GR9N4KX9TXCG91CBYD7JN6D19FPGDC8 STACKS 12313100 "$prikey" "$prikey" :0:['12.3131', 'SP1P4S2DW5GR9N4KX9TXCG91CBYD7JN6D19FPGDC8']
4:blockstack-cli send_tokens SP1P6BTJA3D10NCV32XHYWAHQKWBEYCEB0SHG6PPS STACKS 5227000 "$prikey" "$prikey" :0:['5.227', 'SP1P6BTJA3D10NCV32XHYWAHQKWBEYCEB0SHG6PPS']
5:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 8562200 "$prikey" "$prikey" 100489169:0:['8.5622', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100489169']
6:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 16519300 "$prikey" "$prikey" 100523532:1:['16.5193', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100523532']
7:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 13579400 "$prikey" "$prikey" 100506519:0:['13.5794', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100506519']
8:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 17338000 "$prikey" "$prikey" 100509047:0:['17.338', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100509047']
9:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 9144600 "$prikey" "$prikey" 100510036:0:['9.1446', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100510036']
10:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 2692500 "$prikey" "$prikey" 100510379:0:['2.6925', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100510379']
11:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 5380700 "$prikey" "$prikey" 100516695:0:['5.3807', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100516695']
12:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 4402900 "$prikey" "$prikey" 100483664:0:['4.4029', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100483664']
13:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 9234400 "$prikey" "$prikey" 100462626:0:['9.2344', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100462626']
14:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 2722200 "$prikey" "$prikey" 100487913:0:['2.7222', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100487913']
15:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 15172400 "$prikey" "$prikey" 100490068:0:['15.1724', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100490068']
16:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 16678700 "$prikey" "$prikey" 100485224:0:['16.6787', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100485224']
17:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 1960100 "$prikey" "$prikey" 100499561:0:['1.9601', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100499561']
18:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 6704300 "$prikey" "$prikey" 100518034:0:['6.7043', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100518034']
19:blockstack-cli send_tokens SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS STACKS 16809000 "$prikey" "$prikey" 100488596:0:['16.809', 'SP1P72Z3704VMT3DMHPP2CB8TGQWGDBHD3RPR9GZS', '100488596']
